ZipCode,City,City,State,State,MedianPrice,MedianPrice,Latitude,Longitude,NearestStation,MetroDistanceMeters,DistanceToDC_Meters,Growth_1Y,Growth_3Y,Growth_5Y,Growth_10Y,Price_Volatility,Yelp_Restaurant_Count,Yelp_Avg_Rating,Yelp_Avg_Review_Count,Num_Thai,Num_Coffee,Num_FastFood,Num_Japanese,Num_Italian,Num_American,Num_Bars,Num_HighEnd_Price4,City,City,State,State,MedianPrice,MedianPrice,Livability_Score,Score_Transport,Score_Food,Score_Lifestyle
22851,Stanley,Stanley,VA,VA,261935.43885644132,261935.43885644132,38.563053,-78.512907,Ashburn,101269.04,134080.63,0.0730409012108685,0.226286143265047,0.6936491728677814,1.153964641858526,0.0227064639733111,1,5.0,2.0,0,1,0,0,0,0,0,0,Stanley,Stanley,VA,VA,261935.43885644132,261935.43885644132,14.0,0.0060932965195443,0.4579967614309123,0.0006818181818181
22534,Partlow,Partlow,VA,VA,381285.5794193013,381285.5794193013,38.0775785,-77.6728586,Franconia-Springfield,88261.75,107133.04,0.046910630976953,0.1958595375924353,0.5368089918593645,1.061068130547812,0.0329717510747186,0,0.0,0.0,0,0,0,0,0,0,0,0,Partlow,Partlow,VA,VA,381285.5794193013,381285.5794193013,1.3,0.0319442029114709,0.0,0.0
22743,Etlan,Etlan,VA,VA,338960.02303909155,338960.02303909155,38.5393119,-78.3809697,Ashburn,92897.61,123971.93,0.08372726527544,0.186599364922767,0.6458478743756969,1.0029948733489684,0.0341459779843173,0,0.0,0.0,0,0,0,0,0,0,0,0,Etlan,Etlan,VA,VA,338960.02303909155,338960.02303909155,0.8,0.0191200061301228,0.0,0.0
20032,Washington,Washington,DC,DC,339759.8678792795,339759.8678792795,38.8337188,-77.0065907,Congress Heights,2052.68,7418.94,-0.0304848822073125,-0.0393609140384472,0.1342854965813489,1.0006100313511073,0.0283488319229786,33,2.33,14.5,0,7,5,0,1,5,2,0,Washington,Washington,DC,DC,339759.8678792795,339759.8678792795,37.1,0.5614829526098413,0.481456368692627,0.0077402182999197
22737,Rixeyville,Rixeyville,VA,VA,486379.0939874028,486379.0939874028,38.5805082,-78.0150561,Washington Dulles International Airport,64474.12,92607.19,0.0784013595644867,0.2096006496764536,0.5494319770657107,0.981865126337716,0.0222809715792262,0,0.0,0.0,0,0,0,0,0,0,0,0,Rixeyville,Rixeyville,VA,VA,486379.0939874028,486379.0939874028,2.9,0.0722067442635164,0.0,0.0
22642,Linden,Linden,VA,VA,375831.1397034789,375831.1397034789,38.9471464,-78.0119047,Ashburn,45444.6,85280.73,0.0794431812226389,0.1964053045191718,0.5395875153894567,0.9814950777430024,0.0222531876770846,0,0.0,0.0,0,0,0,0,0,0,0,0,Linden,Linden,VA,VA,375831.1397034789,375831.1397034789,4.5,0.1129587646454058,0.0,0.0
22623,Chester Gap,Chester Gap,VA,VA,315865.34362604795,315865.34362604795,38.8489267,-78.1406635,Ashburn,58781.63,96469.17,0.0771188586406359,0.2515506103889369,0.6100575474321758,0.9787488377623256,0.0223512401189261,0,0.0,0.0,0,0,0,0,0,0,0,0,Chester Gap,Chester Gap,VA,VA,315865.34362604795,315865.34362604795,3.2,0.0797679299042397,0.0,0.0
22134,Quantico,Quantico,VA,VA,328773.9316124258,328773.9316124258,38.521753,-77.3850278,Franconia-Springfield,33031.02,52079.34,0.0548387059276241,0.1281623923674605,0.4309706275754086,0.9706167459300816,0.0202929463962631,4,3.4,38.8,0,3,2,0,0,1,2,0,Quantico,Quantico,VA,VA,328773.9316124258,328773.9316124258,19.2,0.1715420485021316,0.406664309778915,0.0032907871340707
20743,Capitol Heights,Capitol Heights,MD,MD,331537.74350841896,331537.74350841896,38.88423,-76.8933168,Addison Road-Seat Pleasant,277.12,11769.53,0.0309569466262535,0.0530156436745351,0.3029838182474257,0.9576268649976972,0.0218647822316138,18,1.41,12.6,0,4,4,0,0,2,1,0,Capitol Heights,Capitol Heights,MD,MD,331537.74350841896,331537.74350841896,40.8,0.7466636748162865,0.3591660385729959,0.0038665865531537
22735,Reva,Reva,VA,VA,422395.2128636701,422395.2128636701,38.4768647,-78.1742575,Washington Dulles International Airport,82489.39,109964.52,0.0657908609010692,0.1667647131142108,0.517972780152668,0.9346824491123352,0.0250869202848068,0,0.0,0.0,0,0,0,0,0,0,0,0,Reva,Reva,VA,VA,422395.2128636701,422395.2128636701,1.5,0.0376721290222379,0.0,0.0
22736,Fredericksburg,Fredericksburg,VA,VA,448979.6320194555,448979.6320194555,38.3981652,-77.704567,Franconia-Springfield,61991.02,80893.94,0.0754810751303834,0.2282124201918579,0.5742590322721532,0.9263482871828332,0.023492757866123,0,0.0,0.0,0,0,0,0,0,0,0,0,Fredericksburg,Fredericksburg,VA,VA,448979.6320194555,448979.6320194555,3.3,0.0832353509038207,0.0,0.0
22630,Front Royal,Front Royal,VA,VA,377785.5147123273,377785.5147123273,38.9302099,-78.1748776,Ashburn,59664.28,99281.25,0.0734952567355144,0.187578531125086,0.5180386139580979,0.9108402301141456,0.0224779553436024,18,4.03,87.9,2,12,0,1,3,9,8,0,Front Royal,Front Royal,VA,VA,377785.5147123273,377785.5147123273,20.6,0.0767395274005512,0.568766038572996,0.0169518971011508
23024,Bumpass,Bumpass,VA,VA,414472.63535843085,414472.63535843085,37.9277524,-77.7792737,Franconia-Springfield,107352.97,126213.56,0.0687513693729572,0.1994567807805621,0.5215750666731238,0.9104260948584892,0.0198139547693952,0,0.0,0.0,0,0,0,0,0,0,0,0,Bumpass,Bumpass,VA,VA,414472.63535843085,414472.63535843085,0.1,0.0030972422185669,0.0,0.0
22722,Haywood,Haywood,VA,VA,377616.3838976615,377616.3838976615,38.4662617,-78.2270685,Washington Dulles International Airport,86777.9,114623.92,0.0786204499445938,0.1593665533350252,0.5515454225566644,0.9075138361249256,0.0274053124782352,0,0.0,0.0,0,0,0,0,0,0,0,0,Haywood,Haywood,VA,VA,377616.3838976615,377616.3838976615,1.2,0.0302530970220596,0.0,0.0
22960,Orange,Orange,VA,VA,312972.331239644,312972.331239644,38.2189958,-78.0733387,Washington Dulles International Airport,98309.12,118174.83,0.0627779388455895,0.1779204418794683,0.5493468406193627,0.9069589739364866,0.0282918773916376,0,0.0,0.0,0,0,0,0,0,0,0,0,Orange,Orange,VA,VA,312972.331239644,312972.331239644,0.6,0.0156596894282862,0.0,0.0
